Timestamp,Event,VM_ID
1741023267.758,Network: Listening on 127.0.0.1:5003,3
1741023267.784,"Network: Accepted connection from ('127.0.0.1', 57101)",3
1741023267.796,"Network: Accepted connection from ('127.0.0.1', 57103)",3
1741023267.801,Network: Connected to peer VM 1 at 127.0.0.1:5001,3
1741023267.807,Network: Connected to peer VM 2 at 127.0.0.1:5002,3
1741023267.807,Internal event: clock ticked to 1.,3
1741023268.063,Received message: updated clock to 3. Queue length: 0,3
1741023268.318,Sent message to VM 2: clock is now 4.,3
1741023268.573,Internal event: clock ticked to 5.,3
1741023268.824,Internal event: clock ticked to 6.,3
1741023269.079,Internal event: clock ticked to 7.,3
1741023269.333,Sent message to VM 1: clock is now 8.,3
1741023269.333,Sent message to VM 2: clock is now 9.,3
1741023269.587,Internal event: clock ticked to 10.,3
1741023269.840,Internal event: clock ticked to 11.,3
1741023270.093,Sent message to VM 1: clock is now 12.,3
1741023270.093,Sent message to VM 2: clock is now 13.,3
1741023270.349,Sent message to VM 1: clock is now 14.,3
1741023270.349,Sent message to VM 2: clock is now 15.,3
1741023270.603,Internal event: clock ticked to 16.,3
1741023270.858,Internal event: clock ticked to 17.,3
1741023271.114,Received message: updated clock to 19. Queue length: 0,3
1741023271.369,Sent message to VM 2: clock is now 20.,3
1741023271.624,Received message: updated clock to 21. Queue length: 0,3
1741023271.880,Internal event: clock ticked to 22.,3
1741023272.135,Internal event: clock ticked to 23.,3
1741023272.388,Received message: updated clock to 25. Queue length: 0,3
1741023272.644,Internal event: clock ticked to 26.,3
1741023272.896,Received message: updated clock to 27. Queue length: 0,3
1741023273.151,Internal event: clock ticked to 28.,3
1741023273.402,Internal event: clock ticked to 29.,3
1741023273.658,Internal event: clock ticked to 30.,3
1741023273.913,Internal event: clock ticked to 31.,3
1741023274.168,Internal event: clock ticked to 32.,3
1741023274.423,Received message: updated clock to 33. Queue length: 0,3
1741023274.679,Sent message to VM 1: clock is now 34.,3
1741023274.679,Sent message to VM 2: clock is now 35.,3
1741023274.933,Internal event: clock ticked to 36.,3
1741023275.189,Sent message to VM 1: clock is now 37.,3
1741023275.189,Sent message to VM 2: clock is now 38.,3
1741023275.444,Internal event: clock ticked to 39.,3
1741023275.699,Internal event: clock ticked to 40.,3
1741023275.955,Internal event: clock ticked to 41.,3
1741023276.209,Sent message to VM 2: clock is now 42.,3
1741023276.464,Received message: updated clock to 43. Queue length: 0,3
1741023276.717,Internal event: clock ticked to 44.,3
1741023276.970,Received message: updated clock to 45. Queue length: 0,3
1741023277.225,Sent message to VM 2: clock is now 46.,3
1741023277.479,Sent message to VM 1: clock is now 47.,3
1741023277.479,Sent message to VM 2: clock is now 48.,3
1741023277.732,Internal event: clock ticked to 49.,3
1741023277.987,Internal event: clock ticked to 50.,3
1741023278.238,Internal event: clock ticked to 51.,3
1741023278.493,Sent message to VM 1: clock is now 52.,3
1741023278.748,Internal event: clock ticked to 53.,3
1741023279.001,Received message: updated clock to 55. Queue length: 0,3
1741023279.256,Internal event: clock ticked to 56.,3
1741023279.511,Internal event: clock ticked to 57.,3
1741023279.766,Internal event: clock ticked to 58.,3
1741023280.022,Received message: updated clock to 60. Queue length: 0,3
1741023280.272,Internal event: clock ticked to 61.,3
1741023280.528,Sent message to VM 1: clock is now 62.,3
1741023280.528,Sent message to VM 2: clock is now 63.,3
1741023280.783,Sent message to VM 2: clock is now 64.,3
1741023281.039,Internal event: clock ticked to 65.,3
1741023281.290,Internal event: clock ticked to 66.,3
1741023281.546,Sent message to VM 1: clock is now 67.,3
1741023281.546,Sent message to VM 2: clock is now 68.,3
1741023281.801,Sent message to VM 1: clock is now 69.,3
1741023282.052,Sent message to VM 1: clock is now 70.,3
1741023282.307,Internal event: clock ticked to 71.,3
1741023282.562,Internal event: clock ticked to 72.,3
1741023282.816,Internal event: clock ticked to 73.,3
1741023283.072,Sent message to VM 1: clock is now 74.,3
1741023283.072,Sent message to VM 2: clock is now 75.,3
1741023283.326,Internal event: clock ticked to 76.,3
1741023283.579,Internal event: clock ticked to 77.,3
1741023283.830,Internal event: clock ticked to 78.,3
1741023284.082,Internal event: clock ticked to 79.,3
1741023284.336,Internal event: clock ticked to 80.,3
1741023284.591,Received message: updated clock to 81. Queue length: 1,3
1741023284.846,Received message: updated clock to 83. Queue length: 0,3
1741023285.099,Received message: updated clock to 85. Queue length: 0,3
1741023285.350,Sent message to VM 2: clock is now 86.,3
1741023285.602,Received message: updated clock to 87. Queue length: 0,3
1741023285.858,Sent message to VM 1: clock is now 88.,3
1741023285.858,Sent message to VM 2: clock is now 89.,3
1741023286.113,Sent message to VM 2: clock is now 90.,3
1741023286.368,Internal event: clock ticked to 91.,3
1741023286.619,Sent message to VM 1: clock is now 92.,3
1741023286.875,Internal event: clock ticked to 93.,3
1741023287.130,Internal event: clock ticked to 94.,3
1741023287.385,Internal event: clock ticked to 95.,3
1741023287.640,Sent message to VM 1: clock is now 96.,3
1741023287.640,Sent message to VM 2: clock is now 97.,3
1741023287.895,Internal event: clock ticked to 98.,3
1741023288.151,Received message: updated clock to 100. Queue length: 0,3
1741023288.401,Internal event: clock ticked to 101.,3
1741023288.656,Internal event: clock ticked to 102.,3
1741023288.910,Internal event: clock ticked to 103.,3
1741023289.166,Received message: updated clock to 104. Queue length: 0,3
1741023289.416,Received message: updated clock to 105. Queue length: 0,3
1741023289.671,Internal event: clock ticked to 106.,3
1741023289.925,Sent message to VM 1: clock is now 107.,3
1741023289.925,Sent message to VM 2: clock is now 108.,3
1741023290.177,Internal event: clock ticked to 109.,3
1741023290.432,Internal event: clock ticked to 110.,3
1741023290.683,Received message: updated clock to 112. Queue length: 0,3
1741023290.938,Received message: updated clock to 113. Queue length: 0,3
1741023291.189,Received message: updated clock to 114. Queue length: 0,3
1741023291.444,Sent message to VM 1: clock is now 115.,3
1741023291.700,Internal event: clock ticked to 116.,3
1741023291.951,Internal event: clock ticked to 117.,3
1741023292.206,Received message: updated clock to 118. Queue length: 0,3
1741023292.458,Received message: updated clock to 120. Queue length: 0,3
1741023292.714,Sent message to VM 2: clock is now 121.,3
1741023292.966,Received message: updated clock to 122. Queue length: 0,3
1741023293.222,Internal event: clock ticked to 123.,3
1741023293.475,Sent message to VM 1: clock is now 124.,3
1741023293.475,Sent message to VM 2: clock is now 125.,3
1741023293.731,Sent message to VM 1: clock is now 126.,3
1741023293.983,Internal event: clock ticked to 127.,3
1741023294.238,Received message: updated clock to 129. Queue length: 0,3
1741023294.489,Internal event: clock ticked to 130.,3
1741023294.745,Sent message to VM 1: clock is now 131.,3
1741023295.000,Received message: updated clock to 133. Queue length: 0,3
1741023295.255,Internal event: clock ticked to 134.,3
1741023295.509,Sent message to VM 2: clock is now 135.,3
1741023295.760,Internal event: clock ticked to 136.,3
1741023296.015,Received message: updated clock to 137. Queue length: 0,3
1741023296.269,Internal event: clock ticked to 138.,3
1741023296.524,Internal event: clock ticked to 139.,3
1741023296.775,Internal event: clock ticked to 140.,3
1741023297.028,Internal event: clock ticked to 141.,3
1741023297.284,Sent message to VM 2: clock is now 142.,3
1741023297.537,Internal event: clock ticked to 143.,3
1741023297.791,Internal event: clock ticked to 144.,3
1741023298.049,Internal event: clock ticked to 145.,3
1741023298.305,Internal event: clock ticked to 146.,3
1741023298.560,Received message: updated clock to 149. Queue length: 0,3
1741023298.811,Received message: updated clock to 150. Queue length: 0,3
1741023299.066,Internal event: clock ticked to 151.,3
1741023299.322,Received message: updated clock to 152. Queue length: 0,3
1741023299.575,Received message: updated clock to 153. Queue length: 0,3
1741023299.827,Internal event: clock ticked to 154.,3
1741023300.082,Received message: updated clock to 155. Queue length: 0,3
1741023300.333,Internal event: clock ticked to 156.,3
1741023300.584,Internal event: clock ticked to 157.,3
1741023300.839,Internal event: clock ticked to 158.,3
1741023301.093,Sent message to VM 1: clock is now 159.,3
1741023301.344,Internal event: clock ticked to 160.,3
1741023301.599,Received message: updated clock to 163. Queue length: 0,3
1741023301.850,Received message: updated clock to 164. Queue length: 0,3
1741023302.103,Received message: updated clock to 165. Queue length: 0,3
1741023302.358,Received message: updated clock to 166. Queue length: 0,3
1741023302.609,Internal event: clock ticked to 167.,3
1741023302.862,Internal event: clock ticked to 168.,3
1741023303.117,Sent message to VM 1: clock is now 169.,3
1741023303.117,Sent message to VM 2: clock is now 170.,3
1741023303.372,Internal event: clock ticked to 171.,3
1741023303.623,Internal event: clock ticked to 172.,3
1741023303.878,Internal event: clock ticked to 173.,3
1741023304.133,Received message: updated clock to 176. Queue length: 0,3
1741023304.388,Internal event: clock ticked to 177.,3
1741023304.643,Internal event: clock ticked to 178.,3
1741023304.898,Internal event: clock ticked to 179.,3
1741023305.152,Internal event: clock ticked to 180.,3
1741023305.403,Received message: updated clock to 181. Queue length: 0,3
1741023305.658,Received message: updated clock to 182. Queue length: 0,3
1741023305.909,Internal event: clock ticked to 183.,3
1741023306.165,Internal event: clock ticked to 184.,3
1741023306.416,Internal event: clock ticked to 185.,3
1741023306.670,Internal event: clock ticked to 186.,3
1741023306.924,Internal event: clock ticked to 187.,3
1741023307.180,Sent message to VM 1: clock is now 188.,3
1741023307.433,Received message: updated clock to 189. Queue length: 0,3
1741023307.684,Internal event: clock ticked to 190.,3
1741023307.935,Internal event: clock ticked to 191.,3
1741023308.190,Received message: updated clock to 193. Queue length: 0,3
1741023308.446,Sent message to VM 1: clock is now 194.,3
1741023308.699,Received message: updated clock to 196. Queue length: 0,3
1741023308.955,Internal event: clock ticked to 197.,3
1741023309.207,Received message: updated clock to 199. Queue length: 0,3
1741023309.462,Sent message to VM 1: clock is now 200.,3
1741023309.716,Internal event: clock ticked to 201.,3
1741023309.971,Received message: updated clock to 202. Queue length: 0,3
1741023310.223,Received message: updated clock to 203. Queue length: 0,3
1741023310.475,Sent message to VM 1: clock is now 204.,3
1741023310.727,Received message: updated clock to 205. Queue length: 0,3
1741023310.978,Internal event: clock ticked to 206.,3
1741023311.233,Received message: updated clock to 208. Queue length: 0,3
1741023311.486,Internal event: clock ticked to 209.,3
1741023311.737,Internal event: clock ticked to 210.,3
1741023311.988,Sent message to VM 1: clock is now 211.,3
1741023312.244,Sent message to VM 2: clock is now 212.,3
1741023312.499,Internal event: clock ticked to 213.,3
1741023312.754,Received message: updated clock to 216. Queue length: 0,3
1741023313.009,Internal event: clock ticked to 217.,3
1741023313.263,Received message: updated clock to 219. Queue length: 0,3
1741023313.518,Internal event: clock ticked to 220.,3
1741023313.773,Sent message to VM 1: clock is now 221.,3
1741023314.029,Internal event: clock ticked to 222.,3
1741023314.283,Sent message to VM 1: clock is now 223.,3
1741023314.538,Internal event: clock ticked to 224.,3
1741023314.794,Sent message to VM 1: clock is now 225.,3
1741023314.794,Sent message to VM 2: clock is now 226.,3
1741023315.049,Sent message to VM 2: clock is now 227.,3
1741023315.302,Sent message to VM 1: clock is now 228.,3
1741023315.302,Sent message to VM 2: clock is now 229.,3
1741023315.558,Internal event: clock ticked to 230.,3
1741023315.811,Received message: updated clock to 231. Queue length: 1,3
1741023316.066,Received message: updated clock to 232. Queue length: 1,3
1741023316.320,Received message: updated clock to 233. Queue length: 0,3
1741023316.576,Received message: updated clock to 235. Queue length: 0,3
1741023316.831,Sent message to VM 1: clock is now 236.,3
1741023316.832,Sent message to VM 2: clock is now 237.,3
1741023317.084,Internal event: clock ticked to 238.,3
1741023317.340,Sent message to VM 1: clock is now 239.,3
1741023317.340,Sent message to VM 2: clock is now 240.,3
1741023317.595,Internal event: clock ticked to 241.,3
1741023317.850,Sent message to VM 1: clock is now 242.,3
1741023317.850,Sent message to VM 2: clock is now 243.,3
1741023318.104,Internal event: clock ticked to 244.,3
1741023318.359,Received message: updated clock to 247. Queue length: 0,3
1741023318.614,Received message: updated clock to 248. Queue length: 0,3
1741023318.866,Internal event: clock ticked to 249.,3
1741023319.120,Internal event: clock ticked to 250.,3
1741023319.374,Sent message to VM 1: clock is now 251.,3
1741023319.374,Sent message to VM 2: clock is now 252.,3
1741023319.625,Internal event: clock ticked to 253.,3
1741023319.877,Sent message to VM 1: clock is now 254.,3
1741023319.877,Sent message to VM 2: clock is now 255.,3
1741023320.129,Internal event: clock ticked to 256.,3
1741023320.384,Sent message to VM 1: clock is now 257.,3
1741023320.385,Sent message to VM 2: clock is now 258.,3
1741023320.638,Internal event: clock ticked to 259.,3
1741023320.892,Internal event: clock ticked to 260.,3
1741023321.147,Internal event: clock ticked to 261.,3
1741023321.399,Internal event: clock ticked to 262.,3
1741023321.655,Internal event: clock ticked to 263.,3
1741023321.905,Internal event: clock ticked to 264.,3
1741023322.160,Internal event: clock ticked to 265.,3
1741023322.412,Internal event: clock ticked to 266.,3
1741023322.667,Sent message to VM 1: clock is now 267.,3
1741023322.922,Sent message to VM 2: clock is now 268.,3
1741023323.176,Internal event: clock ticked to 269.,3
1741023323.431,Internal event: clock ticked to 270.,3
1741023323.685,Sent message to VM 1: clock is now 271.,3
1741023323.939,Internal event: clock ticked to 272.,3
1741023324.194,Internal event: clock ticked to 273.,3
1741023324.450,Internal event: clock ticked to 274.,3
1741023324.705,Internal event: clock ticked to 275.,3
1741023324.959,Received message: updated clock to 277. Queue length: 0,3
1741023325.214,Internal event: clock ticked to 278.,3
1741023325.470,Sent message to VM 1: clock is now 279.,3
1741023325.725,Internal event: clock ticked to 280.,3
1741023325.978,Internal event: clock ticked to 281.,3
1741023326.233,Internal event: clock ticked to 282.,3
1741023326.484,Sent message to VM 1: clock is now 283.,3
1741023326.484,Sent message to VM 2: clock is now 284.,3
1741023326.739,Internal event: clock ticked to 285.,3
1741023326.995,Internal event: clock ticked to 286.,3
1741023327.250,Internal event: clock ticked to 287.,3
1741023327.504,Internal event: clock ticked to 288.,3
1741023327.760,Received message: updated clock to 289. Queue length: 0,3
1741023328.015,Internal event: clock ticked to 290.,3
1741023267.758,Network: Listening on 127.0.0.1:5002,2
1741023267.778,"Network: Accepted connection from ('127.0.0.1', 57100)",2
1741023267.790,Network: Connected to peer VM 1 at 127.0.0.1:5001,2
1741023267.796,Network: Connected to peer VM 3 at 127.0.0.1:5003,2
1741023267.807,"Network: Accepted connection from ('127.0.0.1', 57105)",2
1741023267.807,Sent message to VM 1: clock is now 1.,2
1741023267.807,Sent message to VM 3: clock is now 2.,2
1741023268.062,Internal event: clock ticked to 3.,2
1741023268.316,Sent message to VM 1: clock is now 4.,2
1741023268.568,Received message: updated clock to 5. Queue length: 0,2
1741023268.820,Internal event: clock ticked to 6.,2
1741023269.071,Internal event: clock ticked to 7.,2
1741023269.323,Internal event: clock ticked to 8.,2
1741023269.578,Received message: updated clock to 10. Queue length: 0,2
1741023269.832,Internal event: clock ticked to 11.,2
1741023270.083,Internal event: clock ticked to 12.,2
1741023270.334,Received message: updated clock to 14. Queue length: 0,2
1741023270.589,Received message: updated clock to 16. Queue length: 0,2
1741023270.845,Internal event: clock ticked to 17.,2
1741023271.096,Sent message to VM 3: clock is now 18.,2
1741023271.351,Internal event: clock ticked to 19.,2
1741023271.606,Received message: updated clock to 21. Queue length: 0,2
1741023271.858,Internal event: clock ticked to 22.,2
1741023272.114,Internal event: clock ticked to 23.,2
1741023272.369,Sent message to VM 3: clock is now 24.,2
1741023272.624,Internal event: clock ticked to 25.,2
1741023272.877,Received message: updated clock to 26. Queue length: 0,2
1741023273.129,Internal event: clock ticked to 27.,2
1741023273.384,Internal event: clock ticked to 28.,2
1741023273.639,Internal event: clock ticked to 29.,2
1741023273.891,Internal event: clock ticked to 30.,2
1741023274.146,Sent message to VM 1: clock is now 31.,2
1741023274.396,Sent message to VM 3: clock is now 32.,2
1741023274.650,Received message: updated clock to 34. Queue length: 0,2
1741023274.900,Received message: updated clock to 36. Queue length: 0,2
1741023275.156,Internal event: clock ticked to 37.,2
1741023275.411,Received message: updated clock to 39. Queue length: 0,2
1741023275.666,Received message: updated clock to 40. Queue length: 0,2
1741023275.922,Internal event: clock ticked to 41.,2
